"110年04月28日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="00714","群益道瓊美國地產","214,217","20","4,491,658","21.01","21.01","20.94","20.98","-","0.04","20.96","1","20.98","2","0.00",
="00715L","期街口布蘭特正2","37,862,496","2,370","262,402,793","6.97","6.98","6.89","6.92","+","0.04","6.92","1,816","6.93","172","0.00",
="00717","富邦美國特別股","1,089,215","306","18,392,897","16.93","16.93","16.86","16.87","-","0.06","16.87","1","16.88","28","0.00",
="00728","第一金工業30","402,055","341","11,753,801","29.16","29.42","29.14","29.20","-","0.11","29.20","2","29.21","14","0.00",
="00730","富邦臺灣優質高息","943,078","505","20,581,060","21.98","21.98","21.76","21.80","-","0.16","21.80","15","21.81","27","0.00",
="00731","FH富時高息低波","265,233","23","15,345,760","57.95","58.00","57.85","57.95"," ","0.00","57.95","13","58.00","1","0.00",
="00732","國泰RMB短期報酬","100,000","2","3,930,000","39.30","39.30","39.30","39.30"," ","0.00","39.20","1","39.30","1","0.00",
="00733","富邦臺灣中小","970,272","333","42,094,814","43.31","43.68","43.00","43.44","+","0.49","43.44","5","43.47","2","0.00",
="00735","國泰臺韓科技","101,468","17","3,555,512","34.98","35.14","34.98","35.05","-","0.05","35.04","35","35.05","1","0.00",
="00736","國泰新興市場","122,180","6","2,906,606","23.79","23.83","23.79","23.79","-","0.02","23.74","20","23.79","2","0.00",
="00737","國泰AI+Robo","128,757","81","4,275,559","33.27","33.27","33.18","33.22","-","0.27","33.21","1","33.22","34","0.00",
="00738U","期元大道瓊白銀","1,089,100","280","29,365,630","27.10","27.10","26.88","26.92","-","0.22","26.91","39","26.92","7","0.00",
="00739","元大MSCI A股","230,203","56","6,372,813","27.69","27.76","27.50","27.70","+","0.21","27.70","1","27.71","21","0.00",
="00742","新光內需收益","56,375","14","1,293,150","22.91","23.04","22.89","22.90","-","0.06","22.91","8","22.99","2","0.00",
="00743","國泰中國A150","105,763","11","3,050,822","28.70","28.90","28.70","28.85","+","0.15","28.76","38","28.85","8","0.00",
="00752","中信中國50","864,605","413","26,045,909","30.14","30.21","30.00","30.10","+","0.05","30.09","70","30.10","93","0.00",
="00753L","中信中國50正2","377,300","120","14,674,670","38.66","39.03","38.63","38.83","+","0.18","38.83","25","38.84","1","0.00",
="00757","統一FANG+","779,940","587","37,389,932","47.90","48.00","47.81","47.99","+","0.01","47.98","11","47.99","37","0.00",
="00762","元大全球AI","174,006","57","6,756,177","38.81","38.88","38.79","38.85","-","0.11","38.85","23","38.89","64","0.00",
="00763U","期街口道瓊銅","2,625,551","445","75,721,894","29.15","29.15","28.78","28.80","-","0.35","28.80","838","28.81","3","0.00",
="00770","國泰北美科技","170,505","13","6,055,097","35.51","35.56","35.50","35.52","-","0.07","35.51","61","35.55","50","0.00",
="00771","元大US高息特別股","52,113","103","1,003,289","19.31","19.31","19.21","19.26","-","0.03","19.26","1","19.29","20","0.00",
="00774B","新光中國政金綠債","2,000","2","77,000","38.50","38.50","38.50","38.50","-","0.02","38.30","5","38.69","1","0.00",
="00774C","新光中政金綠債+R","0","0","0","--","--","--","--"," ","0.00","8.87","5","9.06","2","0.00",
="00775B","新光投等債15+","2,000","2","81,660","40.83","40.83","40.83","40.83","-","0.25","40.63","100","41.01","5","0.00",
="00783","富邦中証500","449,275","15","9,800,215","21.54","21.82","21.54","21.82","+","0.20","21.73","86","21.75","4","0.00",
="008201","BP上證50","100","1","12,490","124.90","124.90","124.90","124.90","+","3.40","123.50","1","124.80","1","0.00",
